name,behavior,time_500,time_1000,time_1500,time_2000
Thunder Dash, steady, 17148.9693, 31258.2092, 46397.1687, 63558.1293
Thunder Dash, sprinter, 7061.107800000001, 13119.2636, 18155.9941, 23191.2431
Thunder Dash, finisher, 6050.3853, 10094.0281, 14131.225999999999, 16146.9875
Thunder Dash, frontrunner, 4036.3056999999994, 7061.107800000001, 13119.2636, 20174.3124
Steady Star, steady, 12110.2029, 22183.230799999998, 31258.2092, 40352.2226
Steady Star, sprinter, 7061.107800000001, 13119.2636, 18155.9941, 23191.2431
Steady Star, finisher, 5046.5315, 9081.372899999998, 11101.2326, 13119.2636
Steady Star, frontrunner, 4036.3056999999994, 8070.993100000001, 12110.2029, 17148.9693
Final Sprint, steady, 8070.993100000001, 15138.051899999999, 22183.230799999998, 29251.233
Final Sprint, sprinter, 6050.3853, 10094.0281, 12110.2029, 17148.9693
Final Sprint, finisher, 6050.3853, 9081.372899999998, 12110.2029, 14131.225999999999
Final Sprint, frontrunner, 3022.4046, 6050.3853, 10094.0281, 15138.051899999999
Early Bird, steady, 11101.2326, 21180.0778, 30253.3062, 39339.9396
Early Bird, sprinter, 7061.107800000001, 11101.2326, 13119.2636, 18155.9941
Early Bird, finisher, 6050.3853, 10094.0281, 14131.225999999999, 17148.9693
Early Bird, frontrunner, 3022.4046, 6050.3853, 10094.0281, 17148.9693
Maximillion, steady, 10094.0281, 18155.9941, 26220.9308, 34284.0794
Maximillion, sprinter, 6050.3853, 9081.372899999998, 14131.225999999999, 18155.9941
Maximillion, finisher, 7061.107800000001, 12110.2029, 15138.051899999999, 18155.9941
Maximillion, frontrunner, 3022.4046, 7061.107800000001, 12110.2029, 18155.9941
Oreo Milkshake, steady, 14131.225999999999, 26220.9308, 37315.2105, 49431.2018
Oreo Milkshake, sprinter, 6050.3853, 12110.2029, 16146.9875, 21180.0778
Oreo Milkshake, finisher, 6050.3853, 10094.0281, 13119.2636, 16146.9875
Oreo Milkshake, frontrunner, 4036.3056999999994, 8070.993100000001, 13119.2636, 21180.0778
Neighvana, steady, 8070.993100000001, 15138.051899999999, 21180.0778, 28243.1709
Neighvana, sprinter, 8070.993100000001, 14131.225999999999, 20174.3124, 25209.0436
Neighvana, finisher, 7061.107800000001, 12110.2029, 16146.9875, 19159.9218
Neighvana, frontrunner, 4036.3056999999994, 7061.107800000001, 12110.2029, 19159.9218
Spray Tan, steady, 7061.107800000001, 14131.225999999999, 20174.3124, 26220.9308
Spray Tan, sprinter, 6050.3853, 11101.2326, 15138.051899999999, 19159.9218
Spray Tan, finisher, 6050.3853, 10094.0281, 13119.2636, 16146.9875
Spray Tan, frontrunner, 3022.4046, 7061.107800000001, 11101.2326, 18155.9941
Chillhooves, steady, 7061.107800000001, 13119.2636, 19159.9218, 25209.0436
Chillhooves, sprinter, 9081.372899999998, 16146.9875, 22183.230799999998, 27232.0415
Chillhooves, finisher, 7061.107800000001, 11101.2326, 14131.225999999999, 17148.9693
Chillhooves, frontrunner, 3022.4046, 6050.3853, 11101.2326, 17148.9693
Sad horse, steady, 9081.372899999998, 17148.9693, 25209.0436, 33269.7088
Sad horse, sprinter, 6050.3853, 11101.2326, 16146.9875, 20174.3124
Sad horse, finisher, 6050.3853, 10094.0281, 14131.225999999999, 17148.9693
Sad horse, frontrunner, 3022.4046, 6050.3853, 11101.2326, 19159.9218
10, steady, 13119.2636, 24199.9628, 35292.6887, 46397.1687
10, sprinter, 6050.3853, 11101.2326, 16146.9875, 20174.3124
10, finisher, 11101.2326, 18155.9941, 25209.0436, 33269.7088
10, frontrunner, 4036.3056999999994, 8070.993100000001, 15138.051899999999, 29251.233
11, steady, 7061.107800000001, 13119.2636, 19159.9218, 24199.9628
11, sprinter, 4036.3056999999994, 7061.107800000001, 10094.0281, 13119.2636
11, finisher, 9081.372899999998, 15138.051899999999, 20174.3124, 25209.0436
11, frontrunner, 4036.3056999999994, 8070.993100000001, 12110.2029, 19159.9218
12, steady, 11101.2326, 21180.0778, 30253.3062, 40352.2226
12, sprinter, 4036.3056999999994, 9081.372899999998, 13119.2636, 17148.9693
12, finisher, 10094.0281, 16146.9875, 20174.3124, 24199.9628
12, frontrunner, 4036.3056999999994, 7061.107800000001, 12110.2029, 19159.9218
13, steady, 14131.225999999999, 25209.0436, 36299.8183, 47407.1192
13, sprinter, 4036.3056999999994, 7061.107800000001, 11101.2326, 15138.051899999999
13, finisher, 10094.0281, 16146.9875, 22183.230799999998, 27232.0415
13, frontrunner, 4036.3056999999994, 8070.993100000001, 14131.225999999999, 25209.0436
14, steady, 12110.2029, 23191.2431, 32260.099299999998, 42369.2199
14, sprinter, 4036.3056999999994, 7061.107800000001, 11101.2326, 15138.051899999999
14, finisher, 6050.3853, 11101.2326, 15138.051899999999, 21180.0778
14, frontrunner, 4036.3056999999994, 8070.993100000001, 13119.2636, 22183.230799999998
Thunder Dash, steady, 8070.993100000001, 16146.9875, 23191.2431, 30253.3062
Thunder Dash, sprinter, 9081.372899999998, 16146.9875, 20174.3124, 25209.0436
Thunder Dash, finisher, 6050.3853, 10094.0281, 13119.2636, 16146.9875
Thunder Dash, frontrunner, 3022.4046, 7061.107800000001, 11101.2326, 17148.9693
Steady Star, steady, 5046.5315, 10094.0281, 14131.225999999999, 19159.9218
Steady Star, sprinter, 7061.107800000001, 13119.2636, 17148.9693, 21180.0778
Steady Star, finisher, 6050.3853, 10094.0281, 12110.2029, 14131.225999999999
Steady Star, frontrunner, 3022.4046, 6050.3853, 9081.372899999998, 13119.2636
Final Sprint, steady, 11101.2326, 20174.3124, 29251.233, 38326.733
Final Sprint, sprinter, 10094.0281, 16146.9875, 22183.230799999998, 28243.1709
Final Sprint, finisher, 6050.3853, 10094.0281, 13119.2636, 15138.051899999999
Final Sprint, frontrunner, 3022.4046, 6050.3853, 10094.0281, 14131.225999999999
Early Bird, steady, 10094.0281, 19159.9218, 28243.1709, 36299.8183
Early Bird, sprinter, 8070.993100000001, 14131.225999999999, 20174.3124, 25209.0436
Early Bird, finisher, 8070.993100000001, 12110.2029, 16146.9875, 19159.9218
Early Bird, frontrunner, 3022.4046, 6050.3853, 10094.0281, 16146.9875
Maximillion, steady, 12110.2029, 22183.230799999998, 31258.2092, 40352.2226
Maximillion, sprinter, 5046.5315, 9081.372899999998, 12110.2029, 17148.9693
Maximillion, finisher, 9081.372899999998, 14131.225999999999, 18155.9941, 21180.0778
Maximillion, frontrunner, 3022.4046, 6050.3853, 9081.372899999998, 14131.225999999999
Oreo Milkshake, steady, 7061.107800000001, 12110.2029, 18155.9941, 23191.2431
Oreo Milkshake, sprinter, 8070.993100000001, 15138.051899999999, 20174.3124, 25209.0436
Oreo Milkshake, finisher, 7061.107800000001, 12110.2029, 15138.051899999999, 19159.9218
Oreo Milkshake, frontrunner, 3022.4046, 7061.107800000001, 12110.2029, 18155.9941
Neighvana, steady, 11101.2326, 21180.0778, 30253.3062, 39339.9396
Neighvana, sprinter, 8070.993100000001, 15138.051899999999, 20174.3124, 26220.9308
Neighvana, finisher, 7061.107800000001, 11101.2326, 15138.051899999999, 18155.9941
Neighvana, frontrunner, 4036.3056999999994, 7061.107800000001, 12110.2029, 18155.9941
Spray Tan, steady, 14131.225999999999, 26220.9308, 37315.2105, 49431.2018
Spray Tan, sprinter, 6050.3853, 11101.2326, 16146.9875, 20174.3124
Spray Tan, finisher, 5046.5315, 9081.372899999998, 12110.2029, 15138.051899999999
Spray Tan, frontrunner, 3022.4046, 6050.3853, 9081.372899999998, 14131.225999999999
Chillhooves, steady, 8070.993100000001, 15138.051899999999, 22183.230799999998, 29251.233
Chillhooves, sprinter, 5046.5315, 8070.993100000001, 12110.2029, 16146.9875
Chillhooves, finisher, 6050.3853, 9081.372899999998, 12110.2029, 15138.051899999999
Chillhooves, frontrunner, 3022.4046, 6050.3853, 9081.372899999998, 15138.051899999999
Sad horse, steady, 18155.9941, 34284.0794, 51445.013699999996, 70625.2584
Sad horse, sprinter, 6050.3853, 12110.2029, 17148.9693, 21180.0778
Sad horse, finisher, 8070.993100000001, 13119.2636, 17148.9693, 21180.0778
Sad horse, frontrunner, 3022.4046, 7061.107800000001, 12110.2029, 21180.0778
10, steady, 21180.0778, 41357.9188, 62545.551999999996, 87773.23830000001
10, sprinter, 6050.3853, 10094.0281, 12110.2029, 15138.051899999999
10, finisher, 6050.3853, 11101.2326, 15138.051899999999, 21180.0778
10, frontrunner, 4036.3056999999994, 8070.993100000001, 13119.2636, 20174.3124
11, steady, 11101.2326, 20174.3124, 28243.1709, 37315.2105
11, sprinter, 6050.3853, 13119.2636, 20174.3124, 24199.9628
11, finisher, 6050.3853, 10094.0281, 15138.051899999999, 22183.230799999998
11, frontrunner, 4036.3056999999994, 9081.372899999998, 16146.9875, 29251.233
12, steady, 11101.2326, 21180.0778, 31258.2092, 40352.2226
12, sprinter, 4036.3056999999994, 7061.107800000001, 10094.0281, 13119.2636
12, finisher, 6050.3853, 10094.0281, 13119.2636, 17148.9693
12, frontrunner, 5046.5315, 9081.372899999998, 15138.051899999999, 21180.0778
13, steady, 12110.2029, 24199.9628, 35292.6887, 46397.1687
13, sprinter, 6050.3853, 10094.0281, 16146.9875, 22183.230799999998
13, finisher, 10094.0281, 16146.9875, 22183.230799999998, 28243.1709
13, frontrunner, 3022.4046, 7061.107800000001, 12110.2029, 22183.230799999998
14, steady, 8070.993100000001, 14131.225999999999, 21180.0778, 28243.1709
14, sprinter, 4036.3056999999994, 8070.993100000001, 14131.225999999999, 17148.9693
14, finisher, 6050.3853, 10094.0281, 14131.225999999999, 19159.9218
14, frontrunner, 5046.5315, 10094.0281, 17148.9693, 25209.0436
Thunder Dash, steady, 8070.993100000001, 15138.051899999999, 22183.230799999998, 28243.1709
Thunder Dash, sprinter, 5046.5315, 10094.0281, 14131.225999999999, 18155.9941
Thunder Dash, finisher, 6050.3853, 10094.0281, 13119.2636, 16146.9875
Thunder Dash, frontrunner, 4036.3056999999994, 8070.993100000001, 13119.2636, 20174.3124
Steady Star, steady, 9081.372899999998, 17148.9693, 24199.9628, 31258.2092
Steady Star, sprinter, 8070.993100000001, 14131.225999999999, 19159.9218, 23191.2431
Steady Star, finisher, 8070.993100000001, 13119.2636, 16146.9875, 18155.9941
Steady Star, frontrunner, 4036.3056999999994, 8070.993100000001, 12110.2029, 16146.9875
Final Sprint, steady, 7061.107800000001, 14131.225999999999, 20174.3124, 27232.0415
Final Sprint, sprinter, 9081.372899999998, 16146.9875, 22183.230799999998, 28243.1709
Final Sprint, finisher, 6050.3853, 9081.372899999998, 12110.2029, 14131.225999999999
Final Sprint, frontrunner, 3022.4046, 6050.3853, 11101.2326, 16146.9875
Early Bird, steady, 8070.993100000001, 15138.051899999999, 21180.0778, 28243.1709
Early Bird, sprinter, 7061.107800000001, 12110.2029, 15138.051899999999, 20174.3124
Early Bird, finisher, 6050.3853, 10094.0281, 13119.2636, 16146.9875
Early Bird, frontrunner, 3022.4046, 7061.107800000001, 11101.2326, 19159.9218
Maximillion, steady, 6050.3853, 12110.2029, 17148.9693, 22183.230799999998
Maximillion, sprinter, 4036.3056999999994, 9081.372899999998, 12110.2029, 17148.9693
Maximillion, finisher, 6050.3853, 10094.0281, 13119.2636, 16146.9875
Maximillion, frontrunner, 4036.3056999999994, 7061.107800000001, 12110.2029, 19159.9218
Oreo Milkshake, steady, 9081.372899999998, 17148.9693, 25209.0436, 32260.099299999998
Oreo Milkshake, sprinter, 6050.3853, 10094.0281, 15138.051899999999, 19159.9218
Oreo Milkshake, finisher, 6050.3853, 11101.2326, 14131.225999999999, 17148.9693
Oreo Milkshake, frontrunner, 3022.4046, 7061.107800000001, 11101.2326, 17148.9693
Neighvana, steady, 8070.993100000001, 15138.051899999999, 21180.0778, 28243.1709
Neighvana, sprinter, 7061.107800000001, 12110.2029, 17148.9693, 21180.0778
Neighvana, finisher, 6050.3853, 10094.0281, 14131.225999999999, 17148.9693
Neighvana, frontrunner, 4036.3056999999994, 8070.993100000001, 12110.2029, 19159.9218
Spray Tan, steady, 9081.372899999998, 18155.9941, 26220.9308, 34284.0794
Spray Tan, sprinter, 11101.2326, 18155.9941, 24199.9628, 30253.3062
Spray Tan, finisher, 5046.5315, 9081.372899999998, 12110.2029, 15138.051899999999
Spray Tan, frontrunner, 3022.4046, 6050.3853, 10094.0281, 16146.9875
Chillhooves, steady, 11101.2326, 20174.3124, 29251.233, 38326.733
Chillhooves, sprinter, 5046.5315, 9081.372899999998, 13119.2636, 17148.9693
Chillhooves, finisher, 7061.107800000001, 11101.2326, 14131.225999999999, 17148.9693
Chillhooves, frontrunner, 3022.4046, 6050.3853, 10094.0281, 15138.051899999999
Sad horse, steady, 10094.0281, 19159.9218, 28243.1709, 36299.8183
Sad horse, sprinter, 7061.107800000001, 13119.2636, 18155.9941, 23191.2431
Sad horse, finisher, 8070.993100000001, 13119.2636, 17148.9693, 21180.0778
Sad horse, frontrunner, 3022.4046, 6050.3853, 10094.0281, 18155.9941
10, steady, 17148.9693, 33269.7088, 49431.2018, 65577.15560000001
10, sprinter, 3022.4046, 8070.993100000001, 12110.2029, 15138.051899999999
10, finisher, 8070.993100000001, 13119.2636, 18155.9941, 22183.230799999998
10, frontrunner, 4036.3056999999994, 9081.372899999998, 15138.051899999999, 24199.9628
11, steady, 12110.2029, 22183.230799999998, 33269.7088, 43371.2435
11, sprinter, 5046.5315, 8070.993100000001, 14131.225999999999, 18155.9941
11, finisher, 7061.107800000001, 12110.2029, 16146.9875, 21180.0778
11, frontrunner, 4036.3056999999994, 8070.993100000001, 13119.2636, 21180.0778
12, steady, 18155.9941, 34284.0794, 50437.4681, 69614.4146
12, sprinter, 5046.5315, 10094.0281, 14131.225999999999, 18155.9941
12, finisher, 7061.107800000001, 11101.2326, 14131.225999999999, 17148.9693
12, frontrunner, 4036.3056999999994, 8070.993100000001, 13119.2636, 21180.0778
13, steady, 13119.2636, 24199.9628, 34284.0794, 45385.2132
13, sprinter, 4036.3056999999994, 7061.107800000001, 10094.0281, 13119.2636
13, finisher, 6050.3853, 9081.372899999998, 13119.2636, 15138.051899999999
13, frontrunner, 4036.3056999999994, 8070.993100000001, 13119.2636, 19159.9218
14, steady, 13119.2636, 24199.9628, 35292.6887, 46397.1687
14, sprinter, 4036.3056999999994, 8070.993100000001, 12110.2029, 18155.9941
14, finisher, 8070.993100000001, 13119.2636, 18155.9941, 24199.9628
14, frontrunner, 3022.4046, 6050.3853, 10094.0281, 14131.225999999999
Thunder Dash, steady, 12110.2029, 22183.230799999998, 32260.099299999998, 42369.2199
Thunder Dash, sprinter, 7061.107800000001, 13119.2636, 18155.9941, 22183.230799999998
Thunder Dash, finisher, 8070.993100000001, 13119.2636, 17148.9693, 20174.3124
Thunder Dash, frontrunner, 3022.4046, 6050.3853, 9081.372899999998, 14131.225999999999
Steady Star, steady, 7061.107800000001, 14131.225999999999, 20174.3124, 25209.0436
Steady Star, sprinter, 5046.5315, 11101.2326, 16146.9875, 21180.0778
Steady Star, finisher, 8070.993100000001, 13119.2636, 16146.9875, 18155.9941
Steady Star, frontrunner, 3022.4046, 6050.3853, 10094.0281, 13119.2636
Final Sprint, steady, 9081.372899999998, 16146.9875, 24199.9628, 31258.2092
Final Sprint, sprinter, 9081.372899999998, 15138.051899999999, 21180.0778, 26220.9308
Final Sprint, finisher, 7061.107800000001, 11101.2326, 14131.225999999999, 16146.9875
Final Sprint, frontrunner, 3022.4046, 7061.107800000001, 12110.2029, 18155.9941
Early Bird, steady, 8070.993100000001, 14131.225999999999, 21180.0778, 27232.0415
Early Bird, sprinter, 7061.107800000001, 12110.2029, 17148.9693, 21180.0778
Early Bird, finisher, 7061.107800000001, 11101.2326, 15138.051899999999, 18155.9941
Early Bird, frontrunner, 3022.4046, 6050.3853, 10094.0281, 15138.051899999999
Maximillion, steady, 6050.3853, 11101.2326, 16146.9875, 20174.3124
Maximillion, sprinter, 6050.3853, 12110.2029, 18155.9941, 23191.2431
Maximillion, finisher, 9081.372899999998, 14131.225999999999, 18155.9941, 21180.0778
Maximillion, frontrunner, 3022.4046, 7061.107800000001, 11101.2326, 17148.9693
Oreo Milkshake, steady, 8070.993100000001, 15138.051899999999, 22183.230799999998, 29251.233
Oreo Milkshake, sprinter, 8070.993100000001, 14131.225999999999, 19159.9218, 24199.9628
Oreo Milkshake, finisher, 7061.107800000001, 11101.2326, 14131.225999999999, 18155.9941
Oreo Milkshake, frontrunner, 3022.4046, 6050.3853, 10094.0281, 15138.051899999999
Neighvana, steady, 12110.2029, 21180.0778, 31258.2092, 40352.2226
Neighvana, sprinter, 9081.372899999998, 16146.9875, 22183.230799999998, 28243.1709
Neighvana, finisher, 6050.3853, 10094.0281, 13119.2636, 16146.9875
Neighvana, frontrunner, 3022.4046, 7061.107800000001, 11101.2326, 17148.9693
Spray Tan, steady, 15138.051899999999, 28243.1709, 41357.9188, 55485.2535
Spray Tan, sprinter, 5046.5315, 10094.0281, 14131.225999999999, 17148.9693
Spray Tan, finisher, 7061.107800000001, 11101.2326, 15138.051899999999, 18155.9941
Spray Tan, frontrunner, 3022.4046, 7061.107800000001, 12110.2029, 20174.3124
Chillhooves, steady, 6050.3853, 12110.2029, 17148.9693, 22183.230799999998
Chillhooves, sprinter, 9081.372899999998, 15138.051899999999, 22183.230799999998, 28243.1709
Chillhooves, finisher, 6050.3853, 10094.0281, 13119.2636, 16146.9875
Chillhooves, frontrunner, 3022.4046, 6050.3853, 9081.372899999998, 15138.051899999999
Sad horse, steady, 15138.051899999999, 29251.233, 42369.2199, 56499.0372
Sad horse, sprinter, 6050.3853, 11101.2326, 16146.9875, 20174.3124
Sad horse, finisher, 9081.372899999998, 14131.225999999999, 18155.9941, 22183.230799999998
Sad horse, frontrunner, 3022.4046, 6050.3853, 10094.0281, 18155.9941
10, steady, 10094.0281, 20174.3124, 29251.233, 38326.733
10, sprinter, 6050.3853, 10094.0281, 14131.225999999999, 20174.3124
10, finisher, 6050.3853, 10094.0281, 14131.225999999999, 20174.3124
10, frontrunner, 5046.5315, 10094.0281, 18155.9941, 35292.6887
11, steady, 15138.051899999999, 27232.0415, 40352.2226, 53467.545099999996
11, sprinter, 5046.5315, 11101.2326, 14131.225999999999, 19159.9218
11, finisher, 9081.372899999998, 15138.051899999999, 21180.0778, 29251.233
11, frontrunner, 4036.3056999999994, 9081.372899999998, 14131.225999999999, 21180.0778
12, steady, 20174.3124, 39339.9396, 58517.2086, 82731.2428
12, sprinter, 4036.3056999999994, 8070.993100000001, 11101.2326, 14131.225999999999
12, finisher, 7061.107800000001, 12110.2029, 18155.9941, 27232.0415
12, frontrunner, 4036.3056999999994, 8070.993100000001, 13119.2636, 21180.0778
13, steady, 22183.230799999998, 42369.2199, 63558.1293, 90791.8742
13, sprinter, 4036.3056999999994, 7061.107800000001, 9081.372899999998, 12110.2029
13, finisher, 5046.5315, 10094.0281, 13119.2636, 17148.9693
13, frontrunner, 5046.5315, 10094.0281, 16146.9875, 24199.9628
14, steady, 11101.2326, 21180.0778, 30253.3062, 39339.9396
14, sprinter, 4036.3056999999994, 11101.2326, 16146.9875, 19159.9218
14, finisher, 9081.372899999998, 15138.051899999999, 19159.9218, 23191.2431
14, frontrunner, 4036.3056999999994, 8070.993100000001, 13119.2636, 19159.9218
Thunder Dash, steady, 8070.993100000001, 15138.051899999999, 22183.230799999998, 28243.1709
Thunder Dash, sprinter, 9081.372899999998, 13119.2636, 19159.9218, 24199.9628
Thunder Dash, finisher, 8070.993100000001, 13119.2636, 17148.9693, 20174.3124
Thunder Dash, frontrunner, 4036.3056999999994, 8070.993100000001, 13119.2636, 21180.0778
Steady Star, steady, 12110.2029, 22183.230799999998, 31258.2092, 39339.9396
Steady Star, sprinter, 6050.3853, 11101.2326, 15138.051899999999, 19159.9218
Steady Star, finisher, 6050.3853, 10094.0281, 13119.2636, 15138.051899999999
Steady Star, frontrunner, 4036.3056999999994, 7061.107800000001, 11101.2326, 15138.051899999999
Final Sprint, steady, 10094.0281, 19159.9218, 28243.1709, 36299.8183
Final Sprint, sprinter, 7061.107800000001, 13119.2636, 18155.9941, 22183.230799999998
Final Sprint, finisher, 8070.993100000001, 12110.2029, 15138.051899999999, 18155.9941
Final Sprint, frontrunner, 3022.4046, 5046.5315, 8070.993100000001, 12110.2029
Early Bird, steady, 6050.3853, 12110.2029, 18155.9941, 23191.2431
Early Bird, sprinter, 9081.372899999998, 15138.051899999999, 18155.9941, 22183.230799999998
Early Bird, finisher, 10094.0281, 15138.051899999999, 19159.9218, 22183.230799999998
Early Bird, frontrunner, 3022.4046, 6050.3853, 9081.372899999998, 15138.051899999999
Maximillion, steady, 7061.107800000001, 14131.225999999999, 20174.3124, 26220.9308
Maximillion, sprinter, 6050.3853, 10094.0281, 14131.225999999999, 17148.9693
Maximillion, finisher, 8070.993100000001, 13119.2636, 16146.9875, 19159.9218
Maximillion, frontrunner, 3022.4046, 7061.107800000001, 11101.2326, 17148.9693
Oreo Milkshake, steady, 12110.2029, 22183.230799999998, 31258.2092, 40352.2226
Oreo Milkshake, sprinter, 7061.107800000001, 13119.2636, 18155.9941, 22183.230799999998
Oreo Milkshake, finisher, 6050.3853, 10094.0281, 13119.2636, 17148.9693
Oreo Milkshake, frontrunner, 4036.3056999999994, 7061.107800000001, 12110.2029, 20174.3124
Neighvana, steady, 11101.2326, 21180.0778, 30253.3062, 39339.9396
Neighvana, sprinter, 8070.993100000001, 14131.225999999999, 19159.9218, 24199.9628
Neighvana, finisher, 6050.3853, 10094.0281, 13119.2636, 16146.9875
Neighvana, frontrunner, 3022.4046, 6050.3853, 10094.0281, 15138.051899999999
Spray Tan, steady, 11101.2326, 20174.3124, 29251.233, 37315.2105
Spray Tan, sprinter, 11101.2326, 18155.9941, 24199.9628, 30253.3062
Spray Tan, finisher, 6050.3853, 11101.2326, 14131.225999999999, 17148.9693
Spray Tan, frontrunner, 3022.4046, 7061.107800000001, 12110.2029, 19159.9218
Chillhooves, steady, 11101.2326, 20174.3124, 29251.233, 38326.733
Chillhooves, sprinter, 8070.993100000001, 14131.225999999999, 20174.3124, 25209.0436
Chillhooves, finisher, 10094.0281, 15138.051899999999, 19159.9218, 22183.230799999998
Chillhooves, frontrunner, 3022.4046, 6050.3853, 9081.372899999998, 14131.225999999999
Sad horse, steady, 11101.2326, 22183.230799999998, 32260.099299999998, 42369.2199
Sad horse, sprinter, 10094.0281, 18155.9941, 25209.0436, 32260.099299999998
Sad horse, finisher, 10094.0281, 16146.9875, 20174.3124, 24199.9628
Sad horse, frontrunner, 3022.4046, 7061.107800000001, 12110.2029, 20174.3124
10, steady, 17148.9693, 32260.099299999998, 48418.2411, 65577.15560000001
10, sprinter, 4036.3056999999994, 7061.107800000001, 11101.2326, 14131.225999999999
10, finisher, 6050.3853, 10094.0281, 15138.051899999999, 19159.9218
10, frontrunner, 4036.3056999999994, 9081.372899999998, 15138.051899999999, 24199.9628
11, steady, 14131.225999999999, 26220.9308, 38326.733, 50437.4681
11, sprinter, 4036.3056999999994, 6050.3853, 9081.372899999998, 12110.2029
11, finisher, 6050.3853, 10094.0281, 13119.2636, 17148.9693
11, frontrunner, 5046.5315, 9081.372899999998, 14131.225999999999, 20174.3124
12, steady, 9081.372899999998, 17148.9693, 25209.0436, 32260.099299999998
12, sprinter, 5046.5315, 10094.0281, 14131.225999999999, 19159.9218
12, finisher, 6050.3853, 10094.0281, 13119.2636, 17148.9693
12, frontrunner, 3022.4046, 7061.107800000001, 10094.0281, 15138.051899999999
13, steady, 8070.993100000001, 15138.051899999999, 22183.230799999998, 29251.233
13, sprinter, 5046.5315, 8070.993100000001, 12110.2029, 16146.9875
13, finisher, 9081.372899999998, 15138.051899999999, 20174.3124, 29251.233
13, frontrunner, 4036.3056999999994, 9081.372899999998, 16146.9875, 26220.9308
14, steady, 12110.2029, 23191.2431, 34284.0794, 46397.1687
